year,month,total_applications,total_hires,hire_rate
2018,1,922,112,12.15
2018,2,867,123,14.19
2018,3,899,116,12.90
2018,4,879,101,11.49
2018,5,924,130,14.07
2018,6,923,125,13.54
2018,7,965,123,12.75
2018,8,951,117,12.30
2018,9,944,108,11.44
2018,10,922,126,13.67
2018,11,912,113,12.39
2018,12,953,115,12.07
2019,1,959,136,14.18
2019,2,803,106,13.20
2019,3,933,128,13.72
2019,4,918,122,13.29
2019,5,949,127,13.38
2019,6,895,136,15.20
2019,7,981,135,13.76
2019,8,955,148,15.50
2019,9,883,132,14.95
2019,10,934,118,12.63
2019,11,885,117,13.22
2019,12,914,119,13.02
2020,1,916,127,13.86
2020,2,905,124,13.70
2020,3,939,127,13.53
2020,4,930,134,14.41
2020,5,963,123,12.77
2020,6,918,116,12.64
2020,7,986,133,13.49
2020,8,912,121,13.27
2020,9,884,122,13.80
2020,10,990,124,12.53
2020,11,902,112,12.42
2020,12,992,122,12.30
2021,1,909,143,15.73
2021,2,866,109,12.59
2021,3,916,129,14.08
2021,4,892,128,14.35
2021,5,937,117,12.49
2021,6,920,129,14.02
2021,7,952,120,12.61
2021,8,965,134,13.89
2021,9,899,132,14.68
2021,10,967,118,12.20
2021,11,910,120,13.19
2021,12,918,106,11.55
2022,1,912,133,14.58
2022,2,844,111,13.15
2022,3,962,125,12.99
2022,4,923,129,13.98
2022,5,979,144,14.71
2022,6,910,134,14.73
2022,7,112,19,16.96
