technology_name,total_applications,total_hires,hire_rate
"Game Development",3818,519,13.59
DevOps,3808,495,13.00
"System Administration",2014,293,14.55
"Development - CMS Backend",1882,284,15.09
"Adobe Experience Manager",1954,282,14.43
"Database Administration",1933,282,14.59
"Client Success",1927,271,14.06
Security,1936,266,13.74
"Development - Frontend",1887,266,14.10
Mulesoft,1973,260,13.18
"QA Manual",1902,259,13.62
Salesforce,1874,256,13.66
"Data Engineer",1951,255,13.07
"Development - Backend",1965,255,12.98
"Business Analytics / Project Management",1878,255,13.58
"Development - FullStack",1961,254,12.95
"Business Intelligence",1934,254,13.13
"Development - CMS Frontend",1934,251,12.98
"Security Compliance",1852,250,13.50
Design,1906,249,13.06
"QA Automation",1892,243,12.84
Sales,1890,239,12.65
"Social Media Community Management",2028,237,11.69
"Technical Writing",1901,223,11.73
