seniority,yoe_range,total_applications,total_hires,hire_rate
Architect,"0-2 yrs",549,87,15.85
Architect,"11-15 yrs",1181,174,14.73
Architect,"16-20 yrs",1108,159,14.35
Architect,"21+ yrs",2365,300,12.68
Architect,"3-5 yrs",711,93,13.08
Architect,"6-10 yrs",1165,158,13.56
Intern,"0-2 yrs",596,102,17.11
Intern,"11-15 yrs",1096,140,12.77
Intern,"16-20 yrs",1251,180,14.39
Intern,"21+ yrs",2433,319,13.11
Intern,"3-5 yrs",685,96,14.01
Intern,"6-10 yrs",1194,148,12.40
Junior,"0-2 yrs",551,83,15.06
Junior,"11-15 yrs",1074,147,13.69
Junior,"16-20 yrs",1174,171,14.57
Junior,"21+ yrs",2368,327,13.81
Junior,"3-5 yrs",698,87,12.46
Junior,"6-10 yrs",1235,162,13.12
Lead,"0-2 yrs",570,75,13.16
Lead,"11-15 yrs",1163,168,14.45
Lead,"16-20 yrs",1119,150,13.40
Lead,"21+ yrs",2389,319,13.35
Lead,"3-5 yrs",713,87,12.20
Lead,"6-10 yrs",1117,130,11.64
Mid-Level,"0-2 yrs",603,65,10.78
Mid-Level,"11-15 yrs",1210,157,12.98
Mid-Level,"16-20 yrs",1154,150,13.00
Mid-Level,"21+ yrs",2386,311,13.03
Mid-Level,"3-5 yrs",748,88,11.76
Mid-Level,"6-10 yrs",1152,153,13.28
Senior,"0-2 yrs",573,75,13.09
Senior,"11-15 yrs",1184,167,14.10
Senior,"16-20 yrs",1146,132,11.52
Senior,"21+ yrs",2285,323,14.14
Senior,"3-5 yrs",703,97,13.80
Senior,"6-10 yrs",1168,145,12.41
Trainee,"0-2 yrs",621,87,14.01
Trainee,"11-15 yrs",1144,155,13.55
Trainee,"16-20 yrs",1142,155,13.57
Trainee,"21+ yrs",2387,313,13.11
Trainee,"3-5 yrs",735,104,14.15
Trainee,"6-10 yrs",1154,159,13.78
