country_name,total_applications,total_hires,hire_rate
Malawi,242,23,9.50
Spain,238,31,13.03
"Svalbard & Jan Mayen Islands",234,26,11.11
"Cook Islands",234,28,11.97
"Netherlands Antilles",234,29,12.39
Tajikistan,233,23,9.87
Italy,232,29,12.50
Malaysia,232,34,14.66
Samoa,232,30,12.93
Taiwan,231,29,12.55
Nauru,231,33,14.29
Niger,231,40,17.32
Dominica,229,31,13.54
Angola,229,34,14.85
Venezuela,229,27,11.79
"Saint Helena",228,37,16.23
Luxembourg,228,32,14.04
Hungary,228,27,11.84
Martinique,227,29,12.78
Timor-Leste,226,40,17.70
"Turks and Caicos Islands",226,35,15.49
Cambodia,226,23,10.18
Colombia,226,25,11.06
Somalia,225,27,12.00
Singapore,225,20,8.89
Niue,224,31,13.84
"Falkland Islands (Malvinas)",224,24,10.71
"Virgin Islands U.S.",224,28,12.50
Rwanda,224,30,13.39
"Bouvet Island (Bouvetoya)",224,29,12.95
Lebanon,224,32,14.29
"Pitcairn Islands",222,24,10.81
"United Kingdom",222,35,15.77
Swaziland,222,30,13.51
Greenland,222,27,12.16
Gibraltar,221,33,14.93
Nicaragua,221,27,12.22
"United States Minor Outlying Islands",221,34,15.38
Argentina,221,36,16.29
Ethiopia,221,27,12.22
"Christmas Island",221,34,15.38
"Saint Barthelemy",220,38,17.27
Mozambique,219,30,13.70
Mexico,219,21,9.59
Mauritania,219,29,13.24
Honduras,219,25,11.42
Mauritius,219,27,12.33
Chad,218,23,10.55
"Palestinian Territory",218,23,10.55
"Equatorial Guinea",218,38,17.43
"British Indian Ocean Territory (Chagos Archipelago)",218,26,11.93
Uruguay,218,29,13.30
Guadeloupe,217,21,9.68
Guatemala,217,33,15.21
Liberia,217,31,14.29
Lithuania,217,23,10.60
Guernsey,217,25,11.52
Iran,216,27,12.50
Togo,216,33,15.28
Cuba,216,29,13.43
Morocco,215,31,14.42
Poland,215,32,14.88
"Saint Lucia",215,30,13.95
Bolivia,215,30,13.95
"Sri Lanka",215,40,18.60
Ukraine,214,23,10.75
"San Marino",214,26,12.15
Turkmenistan,214,36,16.82
Chile,214,30,14.02
"South Africa",214,34,15.89
Gabon,214,28,13.08
Belarus,213,29,13.62
Portugal,213,28,13.15
Japan,213,32,15.02
"Kyrgyz Republic",213,32,15.02
Tokelau,213,29,13.62
"Papua New Guinea",213,26,12.21
Pakistan,213,29,13.62
"South Georgia and the South Sandwich Islands",213,35,16.43
Suriname,213,22,10.33
Denmark,212,24,11.32
Namibia,212,25,11.79
Romania,212,34,16.04
Norway,211,29,13.74
"Wallis and Futuna",211,34,16.11
Seychelles,211,40,18.96
Finland,211,29,13.74
Latvia,211,25,11.85
Mali,211,25,11.85
"Republic of Korea",211,28,13.27
Burundi,211,32,15.17
Ireland,211,27,12.80
Zimbabwe,210,27,12.86
Liechtenstein,210,32,15.24
Bhutan,210,31,14.76
Djibouti,210,26,12.38
Guinea,210,22,10.48
Kiribati,209,31,14.83
Thailand,209,31,14.83
Comoros,209,25,11.96
Mayotte,209,28,13.40
"French Southern Territories",208,29,13.94
Congo,208,27,12.98
Kenya,208,28,13.46
Australia,208,33,15.87
"Solomon Islands",208,31,14.90
Vietnam,208,31,14.90
Georgia,208,31,14.90
Panama,207,25,12.08
"Cayman Islands",207,34,16.43
Mongolia,207,19,9.18
Canada,207,18,8.70
"Antigua and Barbuda",206,28,13.59
Bermuda,206,24,11.65
"Saint Vincent and the Grenadines",206,16,7.77
"Faroe Islands",205,23,11.22
"French Polynesia",205,29,14.15
"Heard Island and McDonald Islands",205,41,20.00
Vanuatu,205,27,13.17
France,205,31,15.12
"Virgin Islands British",205,28,13.66
Kuwait,205,38,18.54
Peru,205,31,15.12
Micronesia,204,35,17.16
Bangladesh,204,23,11.27
Bulgaria,204,22,10.78
Jersey,204,35,17.16
Brazil,204,33,16.18
Israel,204,32,15.69
Egypt,204,27,13.24
"Dominican Republic",204,27,13.24
"Bosnia and Herzegovina",203,19,9.36
Ecuador,203,20,9.85
Botswana,203,25,12.32
Iceland,203,33,16.26
"Sierra Leone",203,29,14.29
Aruba,203,24,11.82
"French Guiana",203,30,14.78
"Saudi Arabia",202,30,14.85
Zambia,202,19,9.41
"Puerto Rico",202,30,14.85
"Lao People's Democratic Republic",202,31,15.35
"Trinidad and Tobago",202,32,15.84
Haiti,202,21,10.40
"Hong Kong",202,24,11.88
"Czech Republic",202,23,11.39
"Norfolk Island",202,26,12.87
